day,hour,ip,graph_type,colormap,marker,size,score
20170620,14:39:22,177.139.217.186,linearDecrease,YlOrRd,o,100,-1
20170620,14:39:22,177.139.217.186,linearDecrease,GnBu,o,100,1
20170620,14:39:27,177.139.217.186,linearIncrease,Greys,^,750,1
20170620,14:39:27,177.139.217.186,linearIncrease,Greys,v,750,-1
20170620,14:39:32,177.139.217.186,linearDecrease,GnBu,^,750,1
20170620,14:39:32,177.139.217.186,linearDecrease,YlOrRd,^,750,-1
20170620,14:39:37,177.139.217.186,linearIncrease,YlOrRd,o,750,-1
20170620,14:39:37,177.139.217.186,linearIncrease,YlOrRd,o,300,1
20170620,14:39:46,177.139.217.186,linearIncrease,YlOrRd,o,300,1
20170620,14:39:46,177.139.217.186,linearIncrease,YlOrRd,^,300,-1
20170620,14:39:48,177.139.217.186,linearIncrease,YlOrRd,^,750,-1
20170620,14:39:48,177.139.217.186,linearIncrease,YlOrRd,^,100,1
20170620,14:39:53,177.139.217.186,linearDecrease,YlOrRd,v,750,-1
20170620,14:39:53,177.139.217.186,linearDecrease,GnBu,v,750,1
20170620,14:40:00,177.139.217.186,linearIncrease,Greys,o,300,1
20170620,14:40:00,177.139.217.186,linearIncrease,Greys,v,300,-1
20170620,14:40:03,177.139.217.186,constant,YlOrRd,^,750,-1
20170620,14:40:03,177.139.217.186,constant,YlOrRd,^,300,1
20170620,14:40:06,177.139.217.186,constant,GnBu,o,750,-1
20170620,14:40:06,177.139.217.186,constant,GnBu,o,300,1
20170620,14:40:10,177.139.217.186,constant,YlOrRd,o,100,1
20170620,14:40:10,177.139.217.186,constant,YlOrRd,^,100,-1
20170620,14:40:16,177.139.217.186,linearIncrease,YlOrRd,v,300,-1
20170620,14:40:16,177.139.217.186,linearIncrease,YlOrRd,o,300,1
20170620,14:40:23,177.139.217.186,linearDecrease,GnBu,v,750,-1
20170620,14:40:23,177.139.217.186,linearDecrease,GnBu,o,750,1
20170620,14:40:26,177.139.217.186,linearDecrease,GnBu,^,100,1
20170620,14:40:26,177.139.217.186,linearDecrease,GnBu,^,300,-1
20170620,14:40:30,177.139.217.186,linearDecrease,Greys,^,300,-1
20170620,14:40:30,177.139.217.186,linearDecrease,Greys,^,100,1
20170620,14:40:35,177.139.217.186,constant,Greys,^,750,-1
20170620,14:40:35,177.139.217.186,constant,GnBu,^,750,1
20170620,14:40:40,177.139.217.186,constant,YlOrRd,v,300,-1
20170620,14:40:40,177.139.217.186,constant,GnBu,v,300,1
20170620,14:40:44,177.139.217.186,constant,GnBu,o,100,1
20170620,14:40:44,177.139.217.186,constant,GnBu,v,100,-1
20170620,14:40:47,177.139.217.186,constant,YlOrRd,v,300,-1
20170620,14:40:47,177.139.217.186,constant,YlOrRd,v,100,1
20170620,14:40:50,177.139.217.186,constant,YlOrRd,v,300,1
20170620,14:40:50,177.139.217.186,constant,Greys,v,300,-1
20170620,15:14:48,179.159.179.25,constant,Greys,^,300,-1
20170620,15:14:48,179.159.179.25,constant,GnBu,^,300,1
20170620,15:15:00,179.159.179.25,constant,Greys,v,750,-1
20170620,15:15:00,179.159.179.25,constant,GnBu,v,750,1
20170620,15:15:03,179.159.179.25,constant,YlOrRd,^,300,1
20170620,15:15:03,179.159.179.25,constant,YlOrRd,v,300,-1
20170620,15:15:10,179.159.179.25,linearDecrease,GnBu,o,300,-1
20170620,15:15:10,179.159.179.25,linearDecrease,GnBu,o,100,1
20170620,15:15:25,179.159.179.25,constant,Greys,o,750,1
20170620,15:15:25,179.159.179.25,constant,Greys,v,750,-1
20170620,15:15:29,179.159.179.25,constant,GnBu,o,100,1
20170620,15:15:29,179.159.179.25,constant,Greys,o,100,-1
20170620,15:15:32,179.159.179.25,constant,GnBu,^,300,1
20170620,15:15:32,179.159.179.25,constant,GnBu,v,300,-1
20170620,15:15:37,179.159.179.25,linearDecrease,Greys,o,100,-1
20170620,15:15:37,179.159.179.25,linearDecrease,GnBu,o,100,1
20170620,15:15:42,179.159.179.25,constant,Greys,v,300,-1
20170620,15:15:42,179.159.179.25,constant,YlOrRd,v,300,1
20170620,15:15:47,179.159.179.25,linearDecrease,GnBu,^,300,1
20170620,15:15:47,179.159.179.25,linearDecrease,Greys,^,300,-1
20170620,15:15:52,179.159.179.25,linearIncrease,YlOrRd,o,300,1
20170620,15:15:52,179.159.179.25,linearIncrease,YlOrRd,v,300,-1
20170620,15:15:58,179.159.179.25,constant,Greys,^,100,-1
20170620,15:15:58,179.159.179.25,constant,Greys,^,300,1
20170620,15:16:02,179.159.179.25,linearDecrease,GnBu,v,750,-1
20170620,15:16:02,179.159.179.25,linearDecrease,GnBu,o,750,1
20170620,15:16:07,179.159.179.25,linearIncrease,GnBu,v,750,1
20170620,15:16:07,179.159.179.25,linearIncrease,Greys,v,750,-1
20170620,15:16:12,179.159.179.25,constant,GnBu,^,750,-1
20170620,15:16:12,179.159.179.25,constant,GnBu,o,750,1
20170620,15:16:16,179.159.179.25,constant,Greys,o,750,-1
20170620,15:16:16,179.159.179.25,constant,GnBu,o,750,1
20170620,15:16:20,179.159.179.25,constant,YlOrRd,^,750,1
